CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM
100000735,Drug,Xenobiotics,,,,,
100000740,Drug,Xenobiotics,,,,,
100000743,"Fatty Acid, Monohydroxy",Lipid,2-hydroxyoctanoate,617-73-2,,HMDB02264,94180.0
100000765,Food Component/Plant,Xenobiotics,levulinate (4-oxovalerate),123-76-2,,HMDB00720,11579.0
100000773,"Fatty Acid, Monohydroxy",Lipid,3-hydroxyoctanoate,88930-08-9,,HMDB01954,26613.0
100000774,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenyllactate (PLA),828-01-3,C05607,HMDB00779,3848.0
100000776,Fatty Acid Metabolism(Acyl Carnitine),Lipid,palmitoylcarnitine (C16),6865-14-1,C02990,HMDB00222,461.0
100000779,Drug,Xenobiotics,,,,,
100000781,Fatty Acid Metabolism(Acyl Carnitine),Lipid,hexanoylcarnitine (C6),6920-35-0,,HMDB00705,6426853.0
100000784,Food Component/Plant,Xenobiotics,theanine,3081-61-6,C01047,HMDB34365,439378.0
100000787,Alanine and Aspartate Metabolism,Amino Acid,N-acetylaspartate (NAA),997-55-7;997-55-7,C01042,HMDB00812,65065.0
100000792,Steroid,Lipid,dehydroepiandrosterone sulfate (DHEA-S),651-48-9,C04555,HMDB01032,12594.0
100000802,Fatty Acid Metabolism(Acyl Carnitine),Lipid,acetylcarnitine (C2),5080-50-2,C02571,HMDB00201,1.0
100000808,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,cysteine s-sulfate,1637-71-4,C05824,HMDB00731,115015.0
100000827,Monoacylglycerol,Lipid,1-palmitoylglycerol (16:0),542-44-9,,HMDB31074,14900.0
100000840,Bacterial/Fungal,Xenobiotics,tartronate (hydroxymalonate),80-69-3,C02287,HMDB35227,45.0
100000841,Ascorbate and Aldarate Metabolism,Cofactors and Vitamins,oxalate (ethanedioate),144-62-7,C00209,HMDB02329,971.0
100000846,Food Component/Plant,Xenobiotics,erythritol,149-32-6,C00503,HMDB02994,222285.0
100000870,Food Component/Plant,Xenobiotics,saccharin,81-07-2,D01085,HMDB29723,5143.0
100000882,"Fatty Acid, Monohydroxy",Lipid,3-hydroxymyristate,3422-31-9,,,16064.0
100000900,Chemical,Xenobiotics,iminodiacetate (IDA),142-73-4,C19911,HMDB11753,8897.0
100000924,Monoacylglycerol,Lipid,1-oleoylglycerol (18:1),111-03-5,,HMDB11567,5283468.0
100000936,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-methyl-2-oxobutyrate,3715-29-5,C00141,HMDB00019,49.0
100000961,Urea cycle; Arginine and Proline Metabolism,Amino Acid,homoarginine,156-86-5,C01924,HMDB00670,9085.0
100000963,Urea cycle; Arginine and Proline Metabolism,Amino Acid,homocitrulline,1190-49-4,C02427,HMDB00679,65072.0
100000966,Dipeptide,Peptide,pyroglutamylglutamine,109481-23-4,,HMDB39229,14889607.0
100000967,Polypeptide,Peptide,bradykinin,58-82-2,C00306,HMDB04246,439201.0
100000987,Monoacylglycerol,Lipid,2-linoleoylglycerol (18:2),3443-82-1,,HMDB11538,5365676.0
100000997,"Fatty Acid, Monohydroxy",Lipid,3-hydroxydecanoate,5561-87-5,,HMDB02203,26612.0
100001002,Chemical,Xenobiotics,EDTA,60-00-4,C00284,HMDB15109,6049.0
100001006,"Glycine, Serine and Threonine Metabolism",Amino Acid,N-acetylglycine,543-24-8,,HMDB00532,10972.0
100001007,Pentose Metabolism,Carbohydrate,ribonate,8/3/36,C01685,HMDB00867,5460677.0
100001022,Ascorbate and Aldarate Metabolism,Cofactors and Vitamins,threonate,70753-61-6,C01620,HMDB00943,151152.0
100001026,"Fructose, Mannose and Galactose Metabolism",Carbohydrate,galactonate,299-28-5,C00880,HMDB00565,128869.0
100001033,Sterol,Lipid,beta-sitosterol,83-46-5,C01753,HMDB00852,222284.0
100001034,Tryptophan Metabolism,Amino Acid,indoleacetate,6505-45-9,C00954,HMDB00197,802.0
100001040,Monoacylglycerol,Lipid,1-linoleoylglycerol (18:2),2277-28-3,,,5283469.0
100001051,Histidine Metabolism,Amino Acid,1-methylhistidine,332-80-9,C01152,HMDB00001,92105.0
100001054,Fatty Acid Metabolism (also BCAA Metabolism),Lipid,butyrylcarnitine (C4),25576-40-3,C02862,HMDB02013,439829.0
100001055,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,isobutyrylcarnitine (C4),25518-49-4,,HMDB00736,168379.0
100001063,Secondary Bile Acid Metabolism,Lipid,7-ketodeoxycholate,911-40-0,,HMDB00391,188292.0
100001064,Secondary Bile Acid Metabolism,Lipid,glycolithocholate,474-74-8,C15557,HMDB00698,115245.0
100001073,Steroid,Lipid,androsterone sulfate,2479-86-9,,HMDB02759,159663.0
100001083,Tryptophan Metabolism,Amino Acid,indolepropionate,830-96-6,,HMDB02302,3744.0
100001086,Food Component/Plant,Xenobiotics,N-(2-furoyl)glycine,5657-19-2;5657-19-2,,HMDB00439,21863.0
100001092,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,trigonelline (N'-methylnicotinate),535-83-1,C01004,HMDB00875,5570.0
100001102,"Fatty Acid, Dicarboxylate",Lipid,dodecanedioate (C12-DC),693-23-2,C02678,HMDB00623,12736.0
100001103,Glutamate Metabolism,Amino Acid,"glutamate, gamma-methyl ester",1499-55-4;1499-55-4,,HMDB61715,68662.0
100001104,Phenylalanine and Tyrosine Metabolism,Amino Acid,N-acetyltyrosine,537-55-3,,HMDB00866,68310.0
100001106,Xanthine Metabolism,Xenobiotics,"1,3-dimethylurate",944-73-0,,HMDB01857,70346.0
100001108,Xanthine Metabolism,Xenobiotics,3-methylxanthine,1076-22-8,C16357,HMDB01886,70639.0
100001112,"Fatty Acid, Monohydroxy",Lipid,3-hydroxylaurate,53941-38-1,,HMDB00387,94216.0
100001121,Vitamin B6 Metabolism,Cofactors and Vitamins,pyridoxate,82-82-6,C00847,HMDB00017,6723.0
100001126,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylvaline,2746-34-1,,HMDB11172,7015683.0
100001132,Dipeptide,Peptide,pyroglutamylvaline,21282-10-0,,,152416.0
100001145,"Fatty Acid, Monohydroxy",Lipid,3-hydroxysebacate,73141-46-5,,HMDB00350,3017884.0
100001148,"Fatty Acid, Monohydroxy",Lipid,5-hydroxyhexanoate,44843-89-2,,HMDB00525,170748.0
100001150,Fatty Acid Metabolism (also BCAA Metabolism),Lipid,propionylglycine,21709-90-0,,HMDB00783,98681.0
100001153,"Fatty Acid, Dicarboxylate",Lipid,2-hydroxyadipate,18294-85-4,C02360,HMDB00321,193530.0
100001161,Dipeptide,Peptide,valylglutamate,7/5/3062,,,7009623.0
100001162,Fatty Acid Metabolism (also BCAA Metabolism),Lipid,propionylcarnitine (C3),17298-37-2,C03017,HMDB00824,107738.0
100001167,Urea cycle; Arginine and Proline Metabolism,Amino Acid,pro-hydroxy-pro,18684-24-7,,HMDB06695,11673055.0
100001170,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxy-2-ethylpropionate,4374-62-3,,HMDB00396,188979.0
100001178,"Fatty Acid, Dicarboxylate",Lipid,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),86879-39-2,,HMDB61112,123979.0
100001181,Polyunsaturated Fatty Acid (n3 and n6),Lipid,docosapentaenoate (n3 DPA; 22:5n3),2234-74-4,C16513,HMDB06528,6441454.0
100001182,Polyunsaturated Fatty Acid (n3 and n6),Lipid,docosadienoate (22:2n6),7370-49-2,C16533,HMDB61714,5282807.0
100001193,Polyunsaturated Fatty Acid (n3 and n6),Lipid,adrenate (22:4n6),2091-25-0,C16527,HMDB02226,5497181.0
100001197,Medium Chain Fatty Acid,Lipid,10-undecenoate (11:1n1),1333-28-4,C13910,HMDB33724,14891.0
100001198,Long Chain Fatty Acid,Lipid,myristoleate (14:1n5),544-64-9,C08322,HMDB02000,5281119.0
100001207,Histidine Metabolism,Amino Acid,4-imidazoleacetate,645-65-8,C02835,HMDB02024,96215.0
100001208,Histidine Metabolism,Amino Acid,1-methyl-4-imidazoleacetate,2625-49-2,C05828,HMDB02820,75810.0
100001211,"Fatty Acid, Dicarboxylate",Lipid,sebacate (C10-DC),111-20-6,C08277,HMDB00792,5192.0
100001229,Polyunsaturated Fatty Acid (n3 and n6),Lipid,stearidonate (18:4n3),111174-40-4,C16300,HMDB06547,5312508.0
100001232,Medium Chain Fatty Acid,Lipid,5-dodecenoate (12:1n7),2430-94-6,,HMDB00529,5312378.0
100001237,Polypeptide,Peptide,"bradykinin, hydroxy-pro(3)",37642-65-2,,HMDB11728,169947.0
100001247,Fatty Acid Metabolism(Acyl Carnitine),Lipid,octanoylcarnitine (C8),3671-77-0,C02838,HMDB00791,123701.0
100001250,Primary Bile Acid Metabolism,Lipid,tauro-beta-muricholate,25696-60-0,,HMDB00932,168408.0
100001251,Fatty Acid Metabolism(Acyl Carnitine),Lipid,decanoylcarnitine (C10),1492-27-9,,HMDB00651,10245190.0
100001253,Glutamate Metabolism,Amino Acid,N-acetylglutamine,2490-97-3,C02716,HMDB06029,182230.0
100001254,Tryptophan Metabolism,Amino Acid,N-acetyltryptophan,1218-34-4,C03137,HMDB13713,700653.0
100001256,Phenylalanine and Tyrosine Metabolism,Amino Acid,N-acetylphenylalanine,2018-61-3,C03519,HMDB00512,74839.0
100001262,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamyl-epsilon-lysine,17105-15-6,,HMDB03869,7015685.0
100001263,Lysolipid,Lipid,1-palmitoyl-GPC (16:0),17364-16-8,,HMDB10382,86554.0
100001264,Lysolipid,Lipid,1-margaroyl-GPC (17:0),50930-23-9,C04230,HMDB12108,24779463.0
100001266,Urea cycle; Arginine and Proline Metabolism,Amino Acid,N-acetylarginine,155-84-0,C02562,HMDB04620,67427.0
100001267,Food Component/Plant,Xenobiotics,piperine,94-62-2,C03882,HMDB29377,638024.0
100001269,Sterol,Lipid,campesterol,474-62-4,C01789,HMDB02869,173183.0
100001270,Fatty Acid Metabolism(Acyl Carnitine),Lipid,myristoylcarnitine (C14),18822-89-4,,HMDB05066,6426854.0
100001271,Lysolipid,Lipid,1-stearoyl-GPC (18:0),19420-57-6,,HMDB10384,497299.0
100001272,Lysolipid,Lipid,1-oleoyl-GPC (18:1),19420-56-5,,HMDB02815,16081932.0
100001274,"Glycine, Serine and Threonine Metabolism",Amino Acid,N-acetylthreonine,17093-74-2,,HMDB62557,152204.0
100001276,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,N-acetylisoleucine,3077-46-1,,HMDB61684,306109.0
100001277,Long Chain Fatty Acid,Lipid,10-nonadecenoate (19:1n9),73033-09-7,,HMDB13622,5312513.0
100001278,Long Chain Fatty Acid,Lipid,10-heptadecenoate (17:1n7),29743-97-3,,HMDB60038,5312435.0
100001287,Steroid,Lipid,epiandrosterone sulfate,22229-22-7,C07635,HMDB00365,9929317.0
100001292,Polypeptide,Peptide,"bradykinin, des-arg(9)",15958-92-6,C00306,HMDB04246,105044.0
100001293,Histidine Metabolism,Amino Acid,N-acetylhistidine,39145-52-3,C02997,HMDB32055,75619.0
100001294,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylglycine,1948-29-4,,HMDB11667,165527.0
100001295,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamyltryptophan,66471-20-3,,HMDB29160,3989307.0
100001296,Food Component/Plant,Xenobiotics,stachydrine,4136-37-2,C10172,HMDB04827,115244.0
100001300,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,alpha-hydroxyisovalerate,600-37-3,,HMDB00407,99823.0
100001309,Drug,Xenobiotics,hydroxybupropion,,,HMDB12235,446.0
100001313,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylmethionine,17663-87-5,,HMDB29155,7009567.0
100001314,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylthreonine,5652-48-2,,HMDB29159,76078708.0
100001315,Phenylalanine and Tyrosine Metabolism,Amino Acid,p-cresol sulfate,3233-57-7,C01468,HMDB11635,4615423.0
100001316,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,nicotinate ribonucleoside,2625-49-2,C05841,HMDB06809,161234.0
100001317,Drug,Xenobiotics,pioglitazone,112529-15-4,C07675,HMDB15264,4829.0
100001320,Aminosugar Metabolism,Carbohydrate,erythronate*,88759-55-1,,HMDB00613,2781043.0
100001322,Fibrinogen Cleavage Peptide,Peptide,Fibrinopeptide A*,25422-31-5,,,16133137.0
100001323,Fibrinogen Cleavage Peptide,Peptide,"Fibrinopeptide A, des-ala(1)*",,,,
100001332,Drug,Xenobiotics,salicyluric glucuronide*,,,,
100001335,Long Chain Fatty Acid,Lipid,eicosenoate (20:1),,C16526,HMDB02231,5282768.0
100001337,Polyunsaturated Fatty Acid (n3 and n6),Lipid,linolenate [alpha or gamma; (18:3n3 or 6)],,C06426,HMDB03073,5280934.0
100001359,TCA Cycle,Energy,aconitate [cis or trans],,C00417,HMDB00072,
100001383,Lysolipid,Lipid,1-myristoyl-GPC (14:0),20559-16-4,C04230,HMDB10379,460604.0
100001384,Lysolipid,Lipid,1-arachidoyl-GPC (20:0),108341-80-6,C04230,HMDB10390,24779473.0
100001385,Drug,Xenobiotics,metoprolol acid metabolite*,56392-14-4,,,62936.0
100001391,Fatty Acid Metabolism(Acyl Carnitine),Lipid,stearoylcarnitine (C18),18822-91-8,,HMDB00848,6426855.0
100001392,Fatty Acid Metabolism(Acyl Carnitine),Lipid,laurylcarnitine (C12),25518-54-1,,HMDB02250,10427569.0
100001393,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,isovalerylcarnitine (C5),31023-24-2,,HMDB00688,6426851.0
100001395,Lysolipid,Lipid,1-linoleoyl-GPC (18:2),,C04100,HMDB10386,11988421.0
100001396,Xanthine Metabolism,Xenobiotics,7-methylxanthine,552-62-5,C16353,HMDB01991,68374.0
100001397,Xanthine Metabolism,Xenobiotics,"1,3,7-trimethylurate",5415-44-1,C16361,HMDB02123,79437.0
100001398,Xanthine Metabolism,Xenobiotics,"3,7-dimethylurate",13087-49-5,C16360,HMDB01982,83126.0
100001399,Xanthine Metabolism,Xenobiotics,"1,7-dimethylurate",33868-03-0,C16356,HMDB11103,91611.0
100001402,Xanthine Metabolism,Xenobiotics,5-acetylamino-6-formylamino-3-methyluracil,85438-96-6,C16365,HMDB11105,108214.0
100001403,Xanthine Metabolism,Xenobiotics,5-acetylamino-6-amino-3-methyluracil,1196153-01-1,C16366,HMDB04400,88299.0
100001405,Xanthine Metabolism,Xenobiotics,1-methylxanthine,6136-37-4,C16358,HMDB10738,80220.0
100001409,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",Nucleotide,N1-methylinosine,20245-33-4,,HMDB02721,65095.0
100001411,Food Component/Plant,Xenobiotics,beta-guanidinopropanoate,353-09-3,C03065,HMDB13222,67701.0
100001412,"Purine Metabolism, Guanine containing",Nucleotide,"N2,N2-dimethylguanosine",2140-67-2,,HMDB04824,92919.0
100001413,"Pyrimidine Metabolism, Cytidine containing",Nucleotide,N4-acetylcytidine,3768-18-1,,HMDB05923,107461.0
100001415,"Purine Metabolism, Adenine containing",Nucleotide,N6-carbamoylthreonyladenosine,24719-82-2,,HMDB41623,161466.0
100001416,"Pyrimidine Metabolism, Orotate containing",Nucleotide,orotidine,314-50-1,C01103,HMDB00788,92751.0
100001417,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenylacetylglutamine,28047-15-6,C04148,HMDB06344,92258.0
100001423,Benzoate Metabolism,Xenobiotics,4-hydroxyhippurate,2482-25-9,,HMDB13678,151012.0
100001425,"Pyrimidine Metabolism, Uracil containing",Nucleotide,"5,6-dihydrouridine",5/4/27,,,94312.0
100001426,"Pyrimidine Metabolism, Uracil containing",Nucleotide,3-(3-amino-3-carboxypropyl)uridine*,52745-94-5,,,171198.0
100001433,Monoacylglycerol,Lipid,1-arachidonylglycerol (20:4),35474-99-8,C13857,HMDB11549,5282281.0
100001437,Glutathione Metabolism,Amino Acid,cysteine-glutathione disulfide,13081-14-6,,HMDB00656,4247235.0
100001446,"Pyrimidine Metabolism, Uracil containing",Nucleotide,5-methyluridine (ribothymidine),1463-10-1,,HMDB00884,445408.0
100001452,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,isovalerylglycine,16284-60-9,,HMDB00678,546304.0
100001455,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,nicotinurate (nicotinoylglycine),583-08-4,C05380,HMDB03269,68499.0
100001456,"Purine Metabolism, Guanine containing",Nucleotide,7-methylguanine,578-76-7,C02242,HMDB00897,11361.0
100001461,Lysolipid,Lipid,1-stearoyl-GPE (18:0),69747-55-3,,HMDB11130,9547068.0
100001466,"Pyrimidine Metabolism, Cytidine containing",Nucleotide,3-methylcytidine,21028-20-6,,,159649.0
100001468,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,N1-Methyl-2-pyridone-5-carboxamide,701-44-0,C05842,HMDB04193,69698.0
100001485,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylisoleucine*,,,HMDB11170,14253342.0
100001501,Fatty Acid Metabolism(Acyl Carnitine),Lipid,oleoylcarnitine (C18:1),38677-66-6,,HMDB05065,6441392.0
100001509,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,2-methylbutyrylcarnitine (C5),31023-25-3,,HMDB00378,6426901.0
100001510,Phenylalanine and Tyrosine Metabolism,Amino Acid,phenol sulfate,937-34-8,C02180,HMDB60015,74426.0
100001511,Lysolipid,Lipid,1-palmitoleoyl-GPC (16:1)*,,,HMDB10383,24779461.0
100001526,Fatty Acid Synthesis,Lipid,malonylcarnitine,853728-01-5,,HMDB02095,22833583.0
100001527,Fatty Acid Metabolism(Acyl Glycine),Lipid,hexanoylglycine,24003-67-6,,HMDB00701,99463.0
100001538,Drug,Xenobiotics,lidocaine,137-58-6,D00358,HMDB14426,3676.0
100001539,Drug,Xenobiotics,,,,,
100001540,Glutamate Metabolism,Amino Acid,pyroglutamine*,2353-44-8,,,134508.0
100001541,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,2-hydroxy-3-methylvalerate,488-15-3,,HMDB00317,164623.0
100001548,Steroid,Lipid,testosterone sulfate,651-45-6,C00535,HMDB02833,119207.0
100001550,Food Component/Plant,Xenobiotics,homostachydrine*,1195-94-4,C08283,HMDB33433,441447.0
100001551,Lysolipid,Lipid,1-arachidonoyl-GPC (20:4n6)*,,C05208,HMDB10395,
100001552,Lysolipid,Lipid,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,,,HMDB10394,
100001553,Lysolipid,Lipid,1-dihomo-linoleoyl-GPC (20:2)*,,,HMDB10392,
100001554,Lysolipid,Lipid,2-arachidonoyl-GPC (20:4)*,,,HMDB61699,
100001556,Lysolipid,Lipid,2-oleoyl-GPC (18:1)*,,,HMDB61701,
100001557,Lysolipid,Lipid,2-linoleoyl-GPC (18:2)*,,,,
100001562,Lysolipid,Lipid,2-palmitoyl-GPC (16:0)*,,,HMDB61702,15061532.0
100001563,Lysolipid,Lipid,2-myristoyl-GPC (14:0)*,,,HMDB10379,
100001566,Lysolipid,Lipid,1-docosahexaenoyl-GPC (22:6)*,,,HMDB10404,
100001567,Lysolipid,Lipid,1-palmitoyl-GPE (16:0),53862-35-4,,HMDB11503,9547069.0
100001569,Lysolipid,Lipid,1-oleoyl-GPE (18:1),89576-29-4,,HMDB11506,9547071.0
100001570,Lysolipid,Lipid,1-linoleoyl-GPE (18:2)*,,,HMDB11507,52925130.0
100001571,Lysolipid,Lipid,1-arachidonoyl-GPE (20:4n6)*,,,HMDB11517,42607465.0
100001577,Urea cycle; Arginine and Proline Metabolism,Amino Acid,N-acetylcitrulline,33965-42-3,C15532,HMDB00856,656979.0
100001579,"Fatty Acid, Monohydroxy",Lipid,2-hydroxypalmitate,764-67-0,,HMDB31057,92836.0
100001580,Polyunsaturated Fatty Acid (n3 and n6),Lipid,docosapentaenoate (n6 DPA; 22:5n6),25182-74-5,C16513,HMDB01976,6441454.0
100001586,Ascorbate and Aldarate Metabolism,Cofactors and Vitamins,gulonate*,20246-53-1,C00257,HMDB03290,152304.0
100001589,Drug,Xenobiotics,,,,,
100001590,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,isobutyrylglycine,15926-18-8,,HMDB00730,10855600.0
100001593,Lysine Metabolism,Amino Acid,glutarylcarnitine (C5-DC),102636-82-8,,HMDB13130,71464488.0
100001596,Fatty Acid Synthesis,Lipid,2-methylmalonylcarnitine (C4-DC),149181-64-6,,HMDB13133,53481628.0
100001597,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,tiglylcarnitine (C5:1-DC),64191-86-2,,HMDB02366,22833596.0
100001604,Drug,Xenobiotics,hydroquinone sulfate,123-31-9,C00530,HMDB02434,161220.0
100001605,Benzoate Metabolism,Xenobiotics,catechol sulfate,4918-96-1,C00090,HMDB59724,3083879.0
100001609,Sterol,Lipid,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),115538-85-7,C17337,HMDB12458,3081085.0
100001612,Glutamate Metabolism,Amino Acid,N-acetyl-aspartyl-glutamate (NAAG),3106-85-2,C12270,HMDB01067,5255.0
100001613,"Fatty Acid, Dicarboxylate",Lipid,tetradecanedioate (C14-DC),821-38-5,,HMDB00872,13185.0
100001614,"Fatty Acid, Dicarboxylate",Lipid,hexadecanedioate (C16-DC),505-54-4,C19615,HMDB00672,10459.0
100001618,Monoacylglycerol,Lipid,1-myristoylglycerol (14:0),75685-84-6,C01885,HMDB11561,79050.0
100001620,Phospholipid Metabolism,Lipid,glycerophosphoethanolamine,33049-08-0,C01233,HMDB00114,123874.0
100001624,Phenylalanine and Tyrosine Metabolism,Amino Acid,3-(3-hydroxyphenyl)propionate,621-54-5,C11457,HMDB00375,91.0
100001635,Chemical,Xenobiotics,ectoine,96702-03-3,C06231,,126041.0
100001651,Lysolipid,Lipid,2-oleoyl-GPE (18:1)*,,,HMDB11476,
100001652,Lysolipid,Lipid,2-palmitoyl-GPE (16:0)*,,,HMDB11503,
100001654,Lysolipid,Lipid,1-arachidonoyl-GPI (20:4)*,,,HMDB61690,
100001655,Lysolipid,Lipid,1-palmitoyl-GPI (16:0),,,HMDB61695,
100001657,Secondary Bile Acid Metabolism,Lipid,glycolithocholate sulfate*,15324-64-8,C11301,HMDB02639,72222.0
100001658,Secondary Bile Acid Metabolism,Lipid,taurolithocholate 3-sulfate,64936-83-0,C03642,HMDB02580,440071.0
100001662,Carnitine Metabolism,Lipid,deoxycarnitine,6249-56-5,C01181,HMDB01161,134.0
100001664,"Purine Metabolism, Adenine containing",Nucleotide,N6-succinyladenosine,4542-23-8,,HMDB00912,165243.0
100001668,Histidine Metabolism,Amino Acid,1-ribosyl-imidazoleacetate*,29605-99-0,C05131,HMDB02331,5117448.0
100001674,Lysolipid,Lipid,2-arachidonoyl-GPE (20:4)*,,,HMDB11487,
100001710,Dipeptide,Peptide,leucylleucine,3303-31-9,C11332,HMDB28933,76807.0
100001721,Lysine Metabolism,Amino Acid,N2-acetyllysine,1946-82-3,C12989,HMDB00446,92907.0
100001731,Tryptophan Metabolism,Amino Acid,indoleacetylglutamine,,,HMDB13240,25200879.0
100001733,,,hexanoylglutamine,,,,
100001734,Lysine Metabolism,Amino Acid,N6-acetyllysine,692-04-6,C02727,HMDB00206,92832.0
100001739,Polyunsaturated Fatty Acid (n3 and n6),Lipid,dihomo-linolenate (20:3n3 or n6),17046-59-2,C03242,HMDB02925,5280581.0
100001740,"Fructose, Mannose and Galactose Metabolism",Carbohydrate,mannitol/sorbitol,,C00794,HMDB00247,5780.0
100001743,Tryptophan Metabolism,Amino Acid,tryptophan betaine,20671-76-5,C09213,HMDB61115,442106.0
100001755,Benzoate Metabolism,Xenobiotics,4-vinylphenol sulfate,2628-17-3,C05627,HMDB62775,6426766.0
100001756,Benzoate Metabolism,Xenobiotics,4-ethylphenylsulfate,123-07-9,C13637,HMDB62551,20822574.0
100001757,Food Component/Plant,Xenobiotics,thymol sulfate,89-83-8,C09908,HMDB01878,
100001767,Food Component/Plant,Xenobiotics,pyrraline,74509-14-1,,HMDB33143,122228.0
100001776,Lysolipid,Lipid,2-linoleoyl-GPE (18:2)*,,,HMDB11477,
100001777,Lysolipid,Lipid,1-oleoyl-GPI (18:1),,,,
100001778,Lysolipid,Lipid,1-linoleoyl-GPI (18:2)*,,,,
100001784,Lysolipid,Lipid,1-palmitoleoyl-GPE (16:1)*,,,HMDB11474,
100001787,Drug,Xenobiotics,,,,,
100001788,Drug,Xenobiotics,desmethylnaproxen sulfate,,,,184679.0
100001789,Food Component/Plant,Xenobiotics,sucralose,56038-13-2,C12285,HMDB31554,71485.0
100001791,Drug,Xenobiotics,2-hydroxyacetaminophen sulfate*,,,,86290013.0
100001793,Drug,Xenobiotics,2-methoxyacetaminophen sulfate*,,,,86290014.0
100001795,Drug,Xenobiotics,2-methoxyacetaminophen glucuronide*,,,,14367271.0
100001797,Drug,Xenobiotics,3-(cystein-S-yl)acetaminophen*,,,,5233914.0
100001806,Phenylalanine and Tyrosine Metabolism,Amino Acid,o-cresol sulfate,,,,11615528.0
100001810,Urea cycle; Arginine and Proline Metabolism,Amino Acid,dimethylarginine (SDMA + ADMA),102783-24-4,C03626,HMDB01539,123831.0
100001843,Gamma-glutamyl Amino Acid,Peptide,gamma-glutamylalanine,5875-41-2,,HMDB29142,440103.0
100001851,"Glycine, Serine and Threonine Metabolism",Amino Acid,N-acetylserine,97-14-3,,HMDB02931,65249.0
100001856,Phospholipid Metabolism,Lipid,1-stearoyl-2-oleoyl-GPE (18:0/18:1),,,HMDB08993,
100001859,Inositol Metabolism,Lipid,chiro-inositol,643-12-9,C19891,HMDB34220,
100001868,Food Component/Plant,Xenobiotics,4-allylphenol sulfate,,,,
100001869,Phospholipid Metabolism,Lipid,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),35418-59-8,,HMDB08048,16219824.0
100001870,Phospholipid Metabolism,Lipid,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),,,HMDB05322,9546747.0
100001876,Sphingolipid Metabolism,Lipid,sphinganine-1-phosphate,19794-97-9,,HMDB01383,520.0
100001882,Sphingolipid Metabolism,Lipid,glycosyl-N-stearoyl-sphingosine (d18:1/18:0),,,,
100001933,Drug,Xenobiotics,,,,,
100001948,TCA Cycle,Energy,succinylcarnitine (C4-DC),256928-74-2,,HMDB61717,71464481.0
100001950,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,"bilirubin (E,E)*",114-25-0,,,5315454.0
100001951,Hemoglobin and Porphyrin Metabolism,Cofactors and Vitamins,"bilirubin (E,Z or Z,E)*",,,HMDB00488,5799469.0
100001956,Urea cycle; Arginine and Proline Metabolism,Amino Acid,N-methylproline,475-11-6,,,557.0
100001977,Food Component/Plant,Xenobiotics,beta-cryptoxanthin,472-70-8,,HMDB33844,6384256.0
100001987,Steroid,Lipid,"5alpha-androstan-3beta,17beta-diol disulfate",571-20-0,C12525,HMDB00493,242332.0
100001988,Steroid,Lipid,"5alpha-pregnan-3beta,20alpha-diol disulfate",,,,
100001989,Secondary Bile Acid Metabolism,Lipid,glycocholenate sulfate*,,,,
100001990,Secondary Bile Acid Metabolism,Lipid,taurocholenate sulfate*,,,,
100001992,Steroid,Lipid,"androstenediol (3beta,17beta) disulfate (1)",,C04295,HMDB03818,87120982.0
100001993,Steroid,Lipid,pregnenediol disulfate (C21H34O8S2)*,,,,
100001994,Steroid,Lipid,"androstenediol (3beta,17beta) disulfate (2)",,C04295,HMDB03818,87120982.0
100001999,Steroid,Lipid,21-hydroxypregnenolone disulfate,1164-98-3,C05485,HMDB04026,134595.0
